VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
044150,"DENIMEISTERS INC.","STORE CONSIGNOR","MEN'S WEAR,WOMEN'S WEAR 1,GIRLS TEENS' WEAR,BOYS TEENS' WEAR,MEN'S WEAR DS,WOMEN'S WEAR 1 DS,GIRLS' TEEN WEAR DS,BOYS' TEEN WEAR DS"
040059,"DENNISON SALES",OUTRIGHT,STATIONERY
040381,"DENT ORAL HYGIENE INCORPORATED",OUTRIGHT,"PET EXPRESS"
044133,"DEOPROCE PHILIPPINES INC","STORE CONSIGNOR",WATSONS
040219,"DERICH-DIAMOND PHARMA INC",OUTRIGHT,WATSONS
044118,"DESERTGEMS FASHION ACCESSORIES COMPANY","STORE CONSIGNOR",KULTURA
040354,"DESIGNS BY WSF INC",OUTRIGHT,"DECOR AND ACCESSORIES"
044010,"DESMON MANUFACTURING CORPORATION","STORE CONSIGNOR","MEN'S WEAR,MEN'S WEAR DS"
040383,"DETRES MARKETING",OUTRIGHT,WATSONS
044059,"DEUTSCHE MOTORGERATE INC","STORE CONSIGNOR",HARDWARE
030187,"DEVANADERA HANDICRAFT",OUTRIGHT,KULTURA
044093,"DEVITONN ENTERPRISES","STORE CONSIGNOR",KULTURA
044027,"DEWSONS INTERNATIONAL CO., INC.","STORE CONSIGNOR","OUR HOME,FURNITURE & FIXTURES,LINENS AND ACCESSORIES,CRATE AND BARREL"
040257,"DEYALT SALES CORPORATION",OUTRIGHT,"KULTURA,WATSONS"
040396,"DIA BEAUTY & MORE INCORPORATED",OUTRIGHT,WATSONS
040355,"DIAGEM MEDICAL SUPPLY CORPORATION",OUTRIGHT,WATSONS
040730,"DIAMOND OFFICE FURNITURE, INC.",OUTRIGHT,"FURNITURE & FIXTURES"
044085,"DIDANG'S DELICIOUS MASAREAL","STORE CONSIGNOR",SNACKS
040425,"DIELLES APIARY AND MEADERY INC.",OUTRIGHT,KULTURA
044135,"DIGIHOME AND SECURITY INC","STORE CONSIGNOR",HARDWARE
044144,"DIGITAL FOCUS UNLIMITED INC.","STORE CONSIGNOR","MUSIC N VIDEO"
040428,"DIGITAL MAKERS, INC",OUTRIGHT,"THE BODY SHOP"
044005,"DIGITAL MARKETING","STORE CONSIGNOR",HARDWARE
040318,"DIGITEL MOBILE PHILS. INC.",OUTRIGHT,APPLIANCE
040364,"DIRETSO DESIGN FURNITURES INC",OUTRIGHT,KULTURA
044149,"DISCOVER WHAT YOU CAN INC","STORE CONSIGNOR",KULTURA
044117,"DISENO DEL MUNDO CORPORATION","STORE CONSIGNOR","WOMEN'S WEAR 1,WOMEN'S WEAR 1 DS"
040339,"DISENYO EXPORT INTERNATIONAL INC",OUTRIGHT,KULTURA
044106,"DIVINUS SHEFA CORP.","STORE CONSIGNOR",WATSONS
044116,"DK ENERGY INC","STORE CONSIGNOR",KULTURA
040576,"D'MC COLLECTION",OUTRIGHT,"KIDS' WEAR - GIRLS,GIRLS TEENS' WEAR,BABIES' WEAR"
040320,"DMI MEDICAL SUPPLY COMPANY INC",OUTRIGHT,WATSONS
040215,"DNA APPAREL",OUTRIGHT,"WOMEN'S WEAR 1,WOMEN'S WEAR 3"
044145,"DOIN' IT BIG PRODUCTION","STORE CONSIGNOR","MUSIC N VIDEO"
040384,"DOK ALTERNATIBO CORPORATION",OUTRIGHT,WATSONS
040627,"DOLLY'S BANANA CHIPS",OUTRIGHT,SNACKS
040691,"DOMINION INTERTRADE CORP.",OUTRIGHT,"KIDS' WEAR - GIRLS,KIDS' WEAR - BOYS,KULTURA,GUAM ISLAND"
040335,"DRAGON KING ENTERPRISES",OUTRIGHT,KITCHENWARE
040347,"DRAGON SON MARKETING",OUTRIGHT,WATSONS
040449,"DRAGONBEL8 CORPORATION",OUTRIGHT,WATSONS
040111,"DRANIX DISTRIBUTORS, INC.",OUTRIGHT,SNACKS
044081,"DREAM AND THINGS GENERAL MERCHANDISE","STORE CONSIGNOR",KULTURA
040443,"DREAM BABY WOOD CRAFT",OUTRIGHT,"BABIES ACCS & FURN"
044124,"DREAMHEARTS INC.","STORE CONSIGNOR","KIDS' SHOES,TOYS,KIDS' SHOES DS"
040247,"DREAMWORKS FASHION TRADING INC",OUTRIGHT,"KIDS' WEAR - GIRLS,BABIES' WEAR,BOYS TEENS' WEAR,KIDS' WEAR - BOYS,MEN'S WEAR PLUS"
044155,"DRIVEN BY PASSION CORPORATION","STORE CONSIGNOR","WOMEN'S SHOES,WOMEN'S SHOES DS"
040404,"DUNCAN CONSUMER HEALTHCARE PHILIPPINES,INC.",OUTRIGHT,WATSONS
040332,"DUNCAN PHARMACEUTICALS PHILIPPINES INC",OUTRIGHT,WATSONS
040360,"DUO SORELLE INC",OUTRIGHT,"WOMEN'S WEAR 2,BAGS,LUGGAGE"
040390,"DYARYO BAGS FOR LIFE",OUTRIGHT,KULTURA
040260,"DYNA DRUG CORPORATION",OUTRIGHT,WATSONS
044113,"DYNA MUSIC ENTERTAINMENT CORPORATION","STORE CONSIGNOR","MUSIC N VIDEO"
040329,"DYNAMIQ WORLD DEVELOPMENT INC",OUTRIGHT,"LINENS AND ACCESSORIES"
040336,"DYNAPAK PHILIPPINES INC",OUTRIGHT,HARDWARE
040474,"DYNAPLAS INC",OUTRIGHT,"BABIES ACCS & FURN,STORAGE AND ORGANIZER,HARDWARE,TOYS"
040330,"DYNASONIE ENTERPRISES",OUTRIGHT,WATSONS
040706,"DYNA-WARE INCORPORATED",OUTRIGHT,"STORAGE AND ORGANIZER,TABLEWARE,HARDWARE,STATIONERY"
050350,"E GLOWCAL ENTERPRISE INC",OUTRIGHT,WATSONS
054090,"E.C. DAUGHSON INC","STORE CONSIGNOR",HARDWARE
050318,"E.C. LIFESTYLE CORPORATION",OUTRIGHT,"BABIES ACCS & FURN,HARDWARE"
050101,"E.C. SEBUALA MARKETING",OUTRIGHT,SNACKS
050046,"E.S.U. SHOE MANUFACTURING",OUTRIGHT,"WOMEN'S SHOES"
054145,"E23 INC","STORE CONSIGNOR","KIDS' ACCESSORIES,KIDS' ACCESSORIES DS"
054129,"EA GLOBAL SUPPLY CHAIN SOLUTIONS INC","STORE CONSIGNOR",APPLIANCE
050369,"EARTH PRODUCE PRODUCTS",OUTRIGHT,KULTURA
054108,"EARTH'S BOUNTY SHOP","STORE CONSIGNOR",KULTURA
050346,"EASTANA FOOD PRODUCTS",OUTRIGHT,"KULTURA,SNACKS"
054063,"EASTERN GEMS CORPORATION","STORE CONSIGNOR",KULTURA
050209,"EASTMED PHARMACEUTICAL INC",OUTRIGHT,WATSONS
050164,"EASYTONE MARKETING",OUTRIGHT,"MEN'S ACCESSORIES,WOMEN'S ACCESSORIES,FURNITURE & FIXTURES,DECOR AND ACCESSORIES,HARDWARE"
054067,"ECJO GENERAL MERCHANDISE","STORE CONSIGNOR",WATSONS
050332,"ECOLOGICO TRADING",OUTRIGHT,STATIONERY
050017,"ECONOMY TRADING",OUTRIGHT,"STORAGE AND ORGANIZER,KULTURA,KITCHENWARE,TABLEWARE,HARDWARE"
050365,"ECOSSENTIAL FOODS CORP.",OUTRIGHT,WATSONS
054074,"EDGE INTERLINKS CORPORATION","STORE CONSIGNOR","MEN'S SHOES,BABIES' WEAR,WOMEN'S SHOES,BRANDED ACCESSORIES,SPORTS CENTRAL,WOMEN'S SHOES DS,BABIES' WEAR DS,BRANDED ACCESSORIES DS,MEN'S SHOES DS"
050062,"EIKON SHOES & REPAIR SHOP",OUTRIGHT,"KIDS' SHOES"
050848,"EJS MDSG INC",OUTRIGHT,"DECOR AND ACCESSORIES,STATIONERY"
050775,"EK NATIONAL ENTERPRISES",OUTRIGHT,"KITCHENWARE,TABLEWARE"
